Date,Price,Open,High,Low,Vol.,Change %
"Friday, June 26, 2020","3,009.05","3,073.20","3,073.73","3,004.63",-,-2.42%
"Thursday, June 25, 2020","3,083.76","3,046.60","3,086.25","3,024.01",-,1.10%
"Wednesday, June 24, 2020","3,050.33","3,114.40","3,115.01","3,032.13",-,-2.59%
"Tuesday, June 23, 2020","3,131.29","3,138.70","3,154.90","3,127.12",-,0.43%
"Monday, June 22, 2020","3,117.86","3,094.42","3,120.92","3,079.39",-,0.65%
"Friday, June 19, 2020","3,097.74","3,140.29","3,155.53","3,083.11",-,-0.56%
"Thursday, June 18, 2020","3,115.34","3,101.64","3,120.00","3,093.51",-,0.06%
"Wednesday, June 17, 2020","3,113.49","3,136.13","3,141.16","3,108.03",-,-0.36%
"Tuesday, June 16, 2020","3,124.74","3,131.00","3,153.45","3,076.06",-,1.90%
"Monday, June 15, 2020","3,066.59","2,993.76","3,079.76","2,965.66",-,0.83%
"Friday, June 12, 2020","3,041.31","3,071.04","3,088.42","2,984.47",-,1.31%
"Thursday, June 11, 2020","3,002.10","3,123.53","3,123.53","2,999.49",-,-5.89%
"Wednesday, June 10, 2020","3,190.14","3,213.42","3,223.27","3,181.49",-,-0.53%
"Tuesday, June 9, 2020","3,207.18","3,213.32","3,222.71","3,193.11",-,-0.78%
"Monday, June 8, 2020","3,232.39","3,199.92","3,233.13","3,196.00",-,1.20%
"Friday, June 5, 2020","3,193.93","3,163.84","3,211.72","3,163.84",-,2.62%
"Thursday, June 4, 2020","3,112.35","3,111.56","3,128.91","3,090.41",-,-0.34%
"Wednesday, June 3, 2020","3,122.87","3,098.90","3,130.94","3,098.90",-,1.36%
"Tuesday, June 2, 2020","3,080.82","3,064.78","3,081.07","3,051.64",-,0.82%
"Monday, June 1, 2020","3,055.73","3,038.78","3,062.18","3,031.54",-,0.38%
"Friday, May 29, 2020","3,044.31","3,025.17","3,049.17","2,998.61",-,0.48%
"Thursday, May 28, 2020","3,029.73","3,046.61","3,068.67","3,023.40",-,-0.21%
"Wednesday, May 27, 2020","3,036.13","3,015.65","3,036.25","2,969.75",-,1.48%
"Tuesday, May 26, 2020","2,991.77","3,004.08","3,021.72","2,988.17",-,1.23%
"Friday, May 22, 2020","2,955.45","2,948.05","2,956.76","2,933.59",-,0.24%
"Thursday, May 21, 2020","2,948.51","2,969.95","2,978.50","2,938.57",-,-0.78%
"Wednesday, May 20, 2020","2,971.61","2,953.63","2,980.29","2,953.63",-,1.67%
"Tuesday, May 19, 2020","2,922.94","2,948.59","2,964.21","2,922.35",-,-1.05%
"Monday, May 18, 2020","2,953.91","2,913.86","2,968.09","2,913.86",-,3.15%
"Friday, May 15, 2020","2,863.70","2,829.95","2,865.01","2,816.78",-,0.39%
"Thursday, May 14, 2020","2,852.50","2,794.54","2,852.80","2,766.64",-,1.15%
"Wednesday, May 13, 2020","2,820.00","2,865.86","2,874.14","2,793.15",-,-1.75%
"Tuesday, May 12, 2020","2,870.12","2,939.50","2,945.82","2,869.59",-,-2.05%
"Monday, May 11, 2020","2,930.32","2,915.46","2,944.25","2,903.44",-,0.02%
"Friday, May 8, 2020","2,929.80","2,908.83","2,932.16","2,902.88",-,1.69%
"Thursday, May 7, 2020","2,881.19","2,878.26","2,901.92","2,876.48",-,1.15%
"Wednesday, May 6, 2020","2,848.42","2,883.14","2,891.11","2,847.65",-,-0.70%
"Tuesday, May 5, 2020","2,868.44","2,868.88","2,898.23","2,863.55",-,0.90%
"Monday, May 4, 2020","2,842.74","2,815.01","2,844.24","2,797.85",-,0.42%
"Friday, May 1, 2020","2,830.71","2,869.09","2,869.09","2,821.61",-,-2.81%
"Thursday, April 30, 2020","2,912.43","2,930.91","2,930.91","2,892.47",-,-0.92%
"Wednesday, April 29, 2020","2,939.51","2,918.46","2,954.86","2,912.16",-,2.66%
"Tuesday, April 28, 2020","2,863.39","2,909.96","2,921.15","2,860.71",-,-0.52%
"Monday, April 27, 2020","2,878.48","2,854.65","2,887.72","2,852.89",-,1.47%
"Friday, April 24, 2020","2,836.74","2,812.64","2,842.71","2,791.76",-,1.39%
"Thursday, April 23, 2020","2,797.80","2,810.42","2,844.90","2,794.26",-,-0.05%
"Wednesday, April 22, 2020","2,799.31","2,787.89","2,815.10","2,775.95",-,2.29%
"Tuesday, April 21, 2020","2,736.56","2,784.81","2,785.54","2,727.10",-,-3.07%
"Monday, April 20, 2020","2,823.16","2,845.62","2,868.98","2,820.43",-,-1.79%
"Friday, April 17, 2020","2,874.56","2,842.43","2,879.22","2,830.88",-,2.68%
"Thursday, April 16, 2020","2,799.55","2,799.34","2,806.51","2,764.32",-,0.58%
"Wednesday, April 15, 2020","2,783.36","2,795.64","2,801.88","2,761.54",-,-2.20%
"Tuesday, April 14, 2020","2,846.06","2,805.10","2,851.85","2,805.10",-,3.06%
"Monday, April 13, 2020","2,761.63","2,782.46","2,782.46","2,721.17",-,-1.01%
"Thursday, April 9, 2020","2,789.82","2,776.99","2,818.57","2,762.36",-,1.45%
"Wednesday, April 8, 2020","2,749.98","2,685.00","2,760.75","2,663.30",-,3.41%
"Tuesday, April 7, 2020","2,659.41","2,738.65","2,756.89","2,657.67",-,-0.16%
"Monday, April 6, 2020","2,663.68","2,578.28","2,676.85","2,574.57",-,7.03%
"Friday, April 3, 2020","2,488.65","2,514.92","2,538.18","2,459.96",-,-1.51%
"Thursday, April 2, 2020","2,526.90","2,458.54","2,533.22","2,455.79",-,2.28%
"Wednesday, April 1, 2020","2,470.50","2,498.08","2,522.75","2,447.49",-,-4.41%
"Tuesday, March 31, 2020","2,584.59","2,614.69","2,641.39","2,571.15",-,-1.60%
"Monday, March 30, 2020","2,626.65","2,558.98","2,631.80","2,545.28",-,3.35%
"Friday, March 27, 2020","2,541.47","2,555.87","2,615.91","2,520.02",-,-3.37%
"Thursday, March 26, 2020","2,630.07","2,501.29","2,637.01","2,500.72",-,6.24%
"Wednesday, March 25, 2020","2,475.56","2,457.77","2,571.42","2,407.53",-,1.15%
"Tuesday, March 24, 2020","2,447.33","2,344.44","2,449.71","2,344.44",-,9.38%
"Monday, March 23, 2020","2,237.40","2,290.71","2,300.73","2,191.86",-,-2.93%
"Friday, March 20, 2020","2,304.92","2,431.94","2,453.01","2,295.56",-,-4.34%
"Thursday, March 19, 2020","2,409.39","2,393.48","2,466.97","2,319.78",-,0.47%
"Wednesday, March 18, 2020","2,398.10","2,436.50","2,453.57","2,280.52",-,-5.18%
"Tuesday, March 17, 2020","2,529.19","2,425.66","2,553.93","2,367.04",-,6.00%
"Monday, March 16, 2020","2,386.13","2,508.59","2,562.98","2,380.94",-,-11.98%
"Friday, March 13, 2020","2,711.02","2,569.99","2,711.33","2,492.37",-,9.29%
"Thursday, March 12, 2020","2,480.64","2,630.86","2,660.95","2,478.86",-,-9.51%
"Wednesday, March 11, 2020","2,741.38","2,825.60","2,825.60","2,707.22",-,-4.89%
"Tuesday, March 10, 2020","2,882.23","2,813.48","2,882.59","2,734.00",-,4.94%
"Monday, March 9, 2020","2,746.56","2,863.89","2,863.89","2,734.43",-,-7.60%
"Friday, March 6, 2020","2,972.37","2,954.20","2,985.93","2,901.54",-,-1.71%
"Thursday, March 5, 2020","3,023.94","3,075.70","3,083.04","2,999.83",-,-3.39%
"Wednesday, March 4, 2020","3,130.12","3,045.75","3,130.97","3,034.38",-,4.22%
"Tuesday, March 3, 2020","3,003.37","3,096.46","3,136.72","2,976.63",-,-2.81%
"Monday, March 2, 2020","3,090.23","2,974.28","3,090.96","2,945.19",-,4.60%
"Friday, February 28, 2020","2,954.22","2,916.90","2,959.72","2,855.84",-,-0.82%
"Thursday, February 27, 2020","2,978.76","3,062.54","3,097.07","2,977.39",-,-4.42%
"Wednesday, February 26, 2020","3,116.39","3,139.90","3,182.51","3,108.99",-,-0.38%
"Tuesday, February 25, 2020","3,128.21","3,238.94","3,246.99","3,118.77",-,-3.03%
"Monday, February 24, 2020","3,225.89","3,257.61","3,259.81","3,214.65",-,-3.35%
"Friday, February 21, 2020","3,337.75","3,360.50","3,360.76","3,328.45",-,-1.05%
"Thursday, February 20, 2020","3,373.23","3,380.45","3,389.15","3,341.02",-,-0.38%
"Wednesday, February 19, 2020","3,386.15","3,380.39","3,393.52","3,378.83",-,0.47%
"Tuesday, February 18, 2020","3,370.29","3,369.04","3,375.01","3,355.61",-,-0.29%
"Friday, February 14, 2020","3,380.16","3,378.08","3,380.69","3,366.15",-,0.18%
"Thursday, February 13, 2020","3,373.94","3,365.90","3,385.09","3,360.52",-,-0.16%
"Wednesday, February 12, 2020","3,379.45","3,370.50","3,381.47","3,369.72",-,0.65%
"Tuesday, February 11, 2020","3,357.75","3,365.87","3,375.63","3,352.72",-,0.17%
"Monday, February 10, 2020","3,352.09","3,318.28","3,352.26","3,317.77",-,0.73%
"Friday, February 7, 2020","3,327.71","3,335.54","3,341.42","3,322.12",-,-0.54%
"Thursday, February 6, 2020","3,345.78","3,344.92","3,347.96","3,334.39",-,0.33%
"Wednesday, February 5, 2020","3,334.69","3,324.91","3,337.58","3,313.75",-,1.13%
"Tuesday, February 4, 2020","3,297.59","3,280.61","3,306.92","3,280.61",-,1.50%
"Monday, February 3, 2020","3,248.92","3,235.66","3,268.44","3,235.66",-,0.73%
"Friday, January 31, 2020","3,225.52","3,282.33","3,282.33","3,214.68",-,-1.77%
"Thursday, January 30, 2020","3,283.66","3,256.45","3,285.91","3,242.80",-,0.31%
"Wednesday, January 29, 2020","3,273.40","3,289.46","3,293.47","3,271.89",-,-0.09%
"Tuesday, January 28, 2020","3,276.24","3,255.35","3,285.78","3,253.22",-,1.01%
"Monday, January 27, 2020","3,243.63","3,247.16","3,258.85","3,234.50",-,-1.57%
"Friday, January 24, 2020","3,295.47","3,333.10","3,333.18","3,281.53",-,-0.90%
"Thursday, January 23, 2020","3,325.54","3,315.77","3,326.88","3,301.87",-,0.11%
"Wednesday, January 22, 2020","3,321.75","3,330.02","3,337.77","3,320.04",-,0.03%
"Tuesday, January 21, 2020","3,320.79","3,321.03","3,329.79","3,316.61",-,-0.27%
"Friday, January 17, 2020","3,329.62","3,323.66","3,329.88","3,318.86",-,0.39%
"Thursday, January 16, 2020","3,316.81","3,302.97","3,317.11","3,302.82",-,0.84%
"Wednesday, January 15, 2020","3,289.29","3,282.27","3,298.66","3,280.69",-,0.19%
"Tuesday, January 14, 2020","3,283.15","3,285.35","3,294.25","3,277.19",-,-0.15%
"Monday, January 13, 2020","3,288.13","3,271.13","3,288.13","3,268.43",-,0.70%
"Friday, January 10, 2020","3,265.35","3,281.81","3,282.99","3,260.86",-,-0.29%
"Thursday, January 9, 2020","3,274.70","3,266.03","3,275.58","3,263.67",-,0.67%
"Wednesday, January 8, 2020","3,253.05","3,238.59","3,267.07","3,236.67",-,0.49%
"Tuesday, January 7, 2020","3,237.18","3,241.86","3,244.91","3,232.43",-,-0.28%
"Monday, January 6, 2020","3,246.28","3,217.55","3,246.84","3,214.64",-,0.35%
"Friday, January 3, 2020","3,234.85","3,226.36","3,246.15","3,222.34",-,-0.71%
"Thursday, January 2, 2020","3,257.85","3,244.67","3,258.14","3,235.53",-,0.84%
"Tuesday, December 31, 2019","3,230.78","3,215.18","3,231.72","3,212.03",-,0.29%
"Monday, December 30, 2019","3,221.29","3,240.09","3,240.92","3,216.57",-,-0.58%
"Friday, December 27, 2019","3,240.02","3,247.23","3,247.93","3,234.37",-,0.00%
"Thursday, December 26, 2019","3,239.91","3,227.20","3,240.08","3,227.20",-,0.51%
"Tuesday, December 24, 2019","3,223.38","3,225.45","3,226.43","3,220.51",-,-0.02%
"Monday, December 23, 2019","3,224.01","3,226.05","3,227.78","3,222.30",-,0.09%
"Friday, December 20, 2019","3,221.22","3,223.33","3,225.65","3,216.03",-,0.49%
"Thursday, December 19, 2019","3,205.37","3,192.32","3,205.48","3,192.32",-,0.45%
"Wednesday, December 18, 2019","3,191.14","3,195.21","3,198.48","3,191.14",-,-0.04%
"Tuesday, December 17, 2019","3,192.52","3,195.40","3,198.22","3,191.03",-,0.03%
"Monday, December 16, 2019","3,191.45","3,183.63","3,197.71","3,183.63",-,0.71%
"Friday, December 13, 2019","3,168.80","3,166.65","3,182.68","3,156.51",-,0.01%
"Thursday, December 12, 2019","3,168.57","3,141.23","3,176.28","3,138.47",-,0.86%
"Wednesday, December 11, 2019","3,141.63","3,135.75","3,143.98","3,133.21",-,0.29%
"Tuesday, December 10, 2019","3,132.52","3,135.36","3,142.12","3,126.09",-,-0.11%
"Monday, December 9, 2019","3,135.96","3,141.86","3,148.87","3,135.46",-,-0.32%
"Friday, December 6, 2019","3,145.91","3,134.62","3,150.60","3,134.62",-,0.91%
"Thursday, December 5, 2019","3,117.43","3,119.21","3,119.45","3,103.76",-,0.15%
"Wednesday, December 4, 2019","3,112.76","3,103.50","3,119.38","3,102.53",-,0.63%
"Tuesday, December 3, 2019","3,093.20","3,087.41","3,094.97","3,070.33",-,-0.66%
"Monday, December 2, 2019","3,113.87","3,143.85","3,144.31","3,110.78",-,-0.86%
"Friday, November 29, 2019","3,140.98","3,147.18","3,150.30","3,139.34",-,-0.40%
"Wednesday, November 27, 2019","3,153.63","3,145.49","3,154.26","3,143.41",-,0.42%
"Tuesday, November 26, 2019","3,140.52","3,134.85","3,142.69","3,131.00",-,0.22%
"Monday, November 25, 2019","3,133.64","3,117.44","3,133.83","3,117.44",-,0.75%
"Friday, November 22, 2019","3,110.29","3,111.41","3,112.87","3,099.26",-,0.22%
"Thursday, November 21, 2019","3,103.54","3,108.49","3,110.11","3,094.55",-,-0.16%
"Wednesday, November 20, 2019","3,108.46","3,114.66","3,118.97","3,091.41",-,-0.38%
"Tuesday, November 19, 2019","3,120.18","3,127.45","3,127.64","3,113.47",-,-0.06%
"Monday, November 18, 2019","3,122.03","3,117.91","3,124.17","3,112.06",-,0.05%
"Friday, November 15, 2019","3,120.46","3,107.92","3,120.46","3,104.60",-,0.77%
"Thursday, November 14, 2019","3,096.63","3,090.75","3,098.20","3,083.26",-,0.08%
"Wednesday, November 13, 2019","3,094.04","3,084.18","3,098.06","3,078.80",-,0.07%
"Tuesday, November 12, 2019","3,091.84","3,089.28","3,102.61","3,084.73",-,0.16%
"Monday, November 11, 2019","3,087.01","3,080.33","3,088.33","3,075.82",-,-0.20%
"Friday, November 8, 2019","3,093.08","3,081.25","3,093.09","3,073.58",-,0.26%
"Thursday, November 7, 2019","3,085.18","3,087.02","3,097.77","3,080.23",-,0.27%
"Wednesday, November 6, 2019","3,076.78","3,075.10","3,078.34","3,065.89",-,0.07%
"Tuesday, November 5, 2019","3,074.62","3,080.80","3,083.95","3,072.15",-,-0.12%
"Monday, November 4, 2019","3,078.27","3,078.96","3,085.20","3,074.87",-,0.37%
"Friday, November 1, 2019","3,066.91","3,050.72","3,066.95","3,050.72",-,0.97%
"Thursday, October 31, 2019","3,037.56","3,046.90","3,046.90","3,023.19",-,-0.30%
"Wednesday, October 30, 2019","3,046.77","3,039.74","3,050.10","3,025.96",-,0.33%
"Tuesday, October 29, 2019","3,036.89","3,035.39","3,047.87","3,034.81",-,-0.08%
"Monday, October 28, 2019","3,039.42","3,032.12","3,044.08","3,032.12",-,0.56%
"Friday, October 25, 2019","3,022.55","3,003.32","3,027.39","3,001.94",-,0.41%
"Thursday, October 24, 2019","3,010.29","3,014.78","3,016.07","3,000.42",-,0.19%
"Wednesday, October 23, 2019","3,004.52","2,994.01","3,004.78","2,991.21",-,0.28%
"Tuesday, October 22, 2019","2,995.99","3,010.73","3,014.57","2,995.04",-,-0.36%
"Monday, October 21, 2019","3,006.72","2,996.48","3,007.33","2,995.35",-,0.69%
"Friday, October 18, 2019","2,986.20","2,996.84","3,000.00","2,976.31",-,-0.39%
"Thursday, October 17, 2019","2,997.95","3,000.77","3,008.29","2,991.79",-,0.28%
"Wednesday, October 16, 2019","2,989.69","2,989.68","2,997.54","2,985.20",-,-0.20%
"Tuesday, October 15, 2019","2,995.68","2,973.61","3,003.28","2,973.61",-,1.00%
"Monday, October 14, 2019","2,966.15","2,965.81","2,972.84","2,962.94",-,-0.14%
"Friday, October 11, 2019","2,970.27","2,963.07","2,993.28","2,963.07",-,1.09%
"Thursday, October 10, 2019","2,938.13","2,918.55","2,948.46","2,917.12",-,0.64%
"Wednesday, October 9, 2019","2,919.40","2,911.10","2,929.32","2,907.41",-,0.91%
"Tuesday, October 8, 2019","2,893.06","2,920.40","2,925.47","2,892.66",-,-1.56%
"Monday, October 7, 2019","2,938.79","2,944.23","2,959.75","2,935.68",-,-0.45%
"Friday, October 4, 2019","2,952.01","2,918.56","2,953.74","2,918.56",-,1.42%
"Thursday, October 3, 2019","2,910.63","2,885.38","2,911.13","2,855.94",-,0.80%
"Wednesday, October 2, 2019","2,887.61","2,924.78","2,924.78","2,874.93",-,-1.79%
"Tuesday, October 1, 2019","2,940.25","2,983.69","2,992.53","2,938.70",-,-1.23%
"Monday, September 30, 2019","2,976.74","2,967.07","2,983.85","2,967.07",-,0.50%
"Friday, September 27, 2019","2,961.79","2,985.47","2,987.31","2,945.53",-,-0.53%
"Thursday, September 26, 2019","2,977.62","2,985.73","2,987.28","2,963.71",-,-0.24%
"Wednesday, September 25, 2019","2,984.87","2,968.35","2,989.82","2,952.86",-,0.62%
"Tuesday, September 24, 2019","2,966.60","3,002.43","3,007.98","2,957.73",-,-0.84%
"Monday, September 23, 2019","2,991.78","2,983.50","2,999.15","2,982.23",-,-0.01%
"Friday, September 20, 2019","2,992.07","3,008.42","3,016.37","2,984.68",-,-0.49%
"Thursday, September 19, 2019","3,006.79","3,010.36","3,021.99","3,003.16",-,0.00%
"Wednesday, September 18, 2019","3,006.73","3,001.50","3,007.83","2,978.57",-,0.03%
"Tuesday, September 17, 2019","3,005.70","2,995.67","3,006.21","2,993.73",-,0.26%
"Monday, September 16, 2019","2,997.96","2,996.41","3,002.19","2,990.67",-,-0.31%
"Friday, September 13, 2019","3,007.39","3,012.21","3,017.33","3,002.90",-,-0.07%
"Thursday, September 12, 2019","3,009.57","3,009.08","3,020.74","3,000.92",-,0.29%
"Wednesday, September 11, 2019","3,000.93","2,981.41","3,000.93","2,975.31",-,0.72%
"Tuesday, September 10, 2019","2,979.39","2,971.01","2,979.39","2,957.01",-,0.03%
"Monday, September 9, 2019","2,978.43","2,988.43","2,989.43","2,969.39",-,-0.01%
"Friday, September 6, 2019","2,978.71","2,980.33","2,985.03","2,972.51",-,0.09%
"Thursday, September 5, 2019","2,976.00","2,960.60","2,985.86","2,960.60",-,1.30%
"Wednesday, September 4, 2019","2,937.78","2,924.67","2,938.84","2,921.86",-,1.08%
"Tuesday, September 3, 2019","2,906.27","2,909.01","2,914.39","2,891.85",-,-0.69%
"Friday, August 30, 2019","2,926.46","2,937.09","2,940.43","2,913.32",-,0.06%
"Thursday, August 29, 2019","2,924.58","2,910.37","2,930.50","2,905.67",-,1.27%
"Wednesday, August 28, 2019","2,887.94","2,861.28","2,890.03","2,853.05",-,0.65%
"Tuesday, August 27, 2019","2,869.16","2,893.14","2,898.79","2,860.59",-,-0.32%
"Monday, August 26, 2019","2,878.38","2,866.70","2,879.27","2,856.00",-,1.10%
"Friday, August 23, 2019","2,847.11","2,911.07","2,927.01","2,834.97",-,-2.59%
"Thursday, August 22, 2019","2,922.95","2,930.94","2,939.08","2,904.51",-,-0.05%
"Wednesday, August 21, 2019","2,924.43","2,922.04","2,928.73","2,917.91",-,0.82%
"Tuesday, August 20, 2019","2,900.51","2,919.01","2,923.63","2,899.60",-,-0.79%
"Monday, August 19, 2019","2,923.65","2,913.48","2,931.00","2,913.48",-,1.21%
"Friday, August 16, 2019","2,888.68","2,864.74","2,893.63","2,864.74",-,1.44%
"Thursday, August 15, 2019","2,847.60","2,846.20","2,856.67","2,825.51",-,0.25%
"Wednesday, August 14, 2019","2,840.60","2,894.15","2,894.15","2,839.64",-,-2.93%
"Tuesday, August 13, 2019","2,926.32","2,880.72","2,943.31","2,877.05",-,1.48%
"Monday, August 12, 2019","2,883.75","2,907.07","2,907.58","2,873.14",-,-1.20%
"Friday, August 9, 2019","2,918.65","2,930.51","2,935.75","2,900.15",-,-0.66%
"Thursday, August 8, 2019","2,938.09","2,896.21","2,938.72","2,894.47",-,1.88%
"Wednesday, August 7, 2019","2,883.98","2,858.65","2,892.17","2,825.71",-,0.08%
"Tuesday, August 6, 2019","2,881.77","2,861.18","2,884.40","2,847.42",-,1.30%
"Monday, August 5, 2019","2,844.74","2,898.07","2,898.07","2,822.12",-,-2.98%
"Friday, August 2, 2019","2,932.05","2,943.90","2,945.50","2,914.11",-,-0.73%
"Thursday, August 1, 2019","2,953.56","2,980.32","3,013.59","2,945.23",-,-0.90%
"Wednesday, July 31, 2019","2,980.38","3,016.22","3,017.40","2,958.08",-,-1.09%
"Tuesday, July 30, 2019","3,013.18","3,007.66","3,017.19","3,000.94",-,-0.26%
"Monday, July 29, 2019","3,020.97","3,024.47","3,025.61","3,014.30",-,-0.16%
"Friday, July 26, 2019","3,025.86","3,013.25","3,027.98","3,012.59",-,0.74%
"Thursday, July 25, 2019","3,003.67","3,016.26","3,016.31","2,997.24",-,-0.53%
"Wednesday, July 24, 2019","3,019.56","2,998.77","3,019.59","2,996.82",-,0.47%
"Tuesday, July 23, 2019","3,005.47","2,994.74","3,005.90","2,988.56",-,0.68%
"Monday, July 22, 2019","2,985.03","2,981.93","2,990.71","2,976.65",-,0.28%
"Friday, July 19, 2019","2,976.61","3,004.26","3,006.02","2,975.86",-,-0.62%
"Thursday, July 18, 2019","2,995.11","2,978.87","2,998.28","2,973.09",-,0.36%
"Wednesday, July 17, 2019","2,984.42","3,005.10","3,005.26","2,984.25",-,-0.65%
"Tuesday, July 16, 2019","3,004.04","3,012.13","3,015.02","3,001.15",-,-0.34%
